filename,bytes,chars,tokens,pages
Knowledge Transfer.v07.xlsx,15297,11414,679,1
SD30_NBG_CMS Solution_Design Customer Services.docx,951636,5899,773,6
Knowledge Transfer.v06.xlsx,15230,11414,673,1
stats.csv,430,420,52,1
Knowledge Transfer.v01.xlsx,15075,11279,632,1
Iniotakis_Georgios_CV.pdf,23675,2832,84,1
dashboard.html,7255,7254,685,3
SD30_NBG_CMS_Solution_Design_ATM_POS.docx,1993863,29339,3900,31
SD30 NBG_CMS Solution_Design Batch.docx,4936062,20251,2700,16
The_33_Strategies_of_War.pdf,4102290,1479756,249857,789
Knowledge Transfer.v03.xlsx,15286,11369,651,1
Knowledge Transfer.v02.xlsx,15266,11414,646,1
Presentation (1).pdf,436127,2219,337,10
Knowledge Transfer.v05.xlsx,15348,11414,667,1
Knowledge Transfer.v04.xlsx,15304,11414,661,1
